titular_de_registro;tipo_empresa
Koppert do Brasil Holding S.A. - Piracicaba/SP;Com presença internacional
Bem Brasil Alimentos S/A.  Perdizes/MG;Com presença internacional
CCAB Agro S.A.   São Paulo;Com presença internacional
CAC Quimica do Brasil Ltda;Com presença internacional
Inovatis Agronegocios Importação e Exportação Ltda.;Com presença internacional
Rainbow Defensivos Agrícolas Ltda.- Porto Alegre /RS;Com presença internacional
Crotect Crop Science Ltda - São Paulo/SP;Com presença internacional
Perterra Insumos Agropecuários S.A.  São Paulo/SP;Com presença internacional
Suno Agrotech Ltda.;Com presença internacional
AllierBrasil Agro Ltda.;Com presença internacional
Nortox S.A. - Arapongas;Com presença internacional
Agriconnection Importadora e Exportadora de Insumos Agrícolas - Barueri/SP;Com presença internacional
Sharda do Brasil Comércio de Produtos Químicos e Agroquímicos LTDA;Com presença internacional
Agritec Ind. Brasileira de Herbicidas Ltda.;Somente nacional
Agro Import do Brasil Ltda. - Porto Alegre/RS;Com presença internacional
CHDS do Brasil Comércio de Insumos Agrícolas Ltda - São Miguel do Iguaçu/PR;Com presença internacional
Solus do Brasil Ltda. - Apucarana/PR- Parque Industrial;Com presença internacional
Copalliance S.A. - Campinas;Com presença internacional
Tecnomyl Brasil Distribuidora de Produtos Agrícolas Ltda - Foz do Iguaçu;Com presença internacional
Yonon Brasil Defensivos Agricolas Ltda;Com presença internacional
Adama Brasil S.A.- Londrina/PR;Somente nacional
UPL do Brasil Indústria e Comércio de Insumos Agropecuários S.A. - Matriz Ituverava/SP;Com presença internacional
Binova Agro Industrial Ltda;Somente nacional
Biorisk - Assessoria e Comércio de Produtos Agrícolas Ltda.;Com presença internacional
Syncrom Assessoria e Comércio de Produtos Agropecuários  Ltda.;Com presença internacional
Avgust Crop Protection Importação e Exportação Ltda.;Com presença internacional
Basf Agricultural Solutions Brasil Ltda  SãoPaulo/SP;Com presença internacional
Sumitomo Chemical Brasil Indústria Química S.A. - Maracanaú/CE;Somente nacional
Cropchem Ltda - Porto Alegre;Com presença internacional
Prentiss Química Ltda. - Campo Largo/PR;Com presença internacional
Mitsui & Co (Brasil) S.A.;Com presença internacional
Albaugh Agro Brasil Ltda.- São Paulo;Com presença internacional
Iharabras S.A. Indústria Químicas - Sorocaba;Somente nacional
Oxon Brasil Defensivos Agrícolas Ltda.;Com presença internacional
Agroallianz S.A;Com presença internacional
CTVA Proteção de Cultivos Ltda - Barueri (Tamboré);Com presença internacional
ALTA - America Latina Tecnologia Agrícola Ltda.- Curitiba;Com presença internacional
Agribiol  Biológicos Agrícolas Ltda;Somente nacional
Bionat Soluções Biologicas Ltda;Somente nacional
Agrobeats Defensivos Agrícolas Ltda;Com presença internacional
Ameribrás Indústria e Comércio Ltda.;Com presença internacional
Coromandel América S.A;Com presença internacional
GSP Agroquímica do Brasil Ltda - Porto Alegra/RS;Com presença internacional
Ballagro Agro Tecnologia Ltda. - Bom Jesus dos Perdões/SP;Somente nacional
Proventis Lifescience Defensivos Agrícolas Ltda;Com presença internacional
Ouro Fino Química S.A. - Uberaba;Com presença internacional
Syngenta Proteção de Cultivos Ltda.  São Paulo/SP;Com presença internacional
Basf S.A.  São Paulo;Com presença internacional
AgroFresh Brasil Ltda. - São Paulo/SP;Com presença internacional
Bayer S.A. - São Paulo/ SP;Com presença internacional
FMC Química do Brasil Ltda. - Campinas/SP;Com presença internacional
Massen Produtos Biologicos S.A. - Indaiatuba/SP;Somente nacional
ISK Biosciences do Brasil Defensivos Agricolas Ltda;Com presença internacional
Genica Inovação Biotecnologica S.A.. - Planta 2/Piracicaba/SP;Somente nacional
Gulf Oil do Brasil Ltda - Iperó/SP;Somente nacional
Bio Controle - Métodos de Controle de Pragas Ltda.;Com presença internacional
Quimetal Produtos Quimicos do Brasil Ltda.;Somente nacional
RL Controle Biologico Ltda - EPP;Somente nacional
Vittia S.A. - São Joaquim da Barra 01;Somente nacional
Ophicina Organica Fertilizantes - Atibaia/SP;Com presença internacional
NGC Agrosciences Brasil Ltda - Botucatu/SP;Com presença internacional
Pilarquim Br Comercial Ltda.- São Paulo;Com presença internacional
Nave Bio Science Ltda;Somente nacional
Gowan Produtos Agrícolas Ltda. - Matriz Campinas/SP;Somente nacional
Agro-Lead Brasil Assessoria em Produtos Agrícolas Ltda - EPP;Com presença internacional
Alfa Agrotec Produtos Agrícolas Ltda;Somente nacional
Helm do Brasil Mercantil - São Paulo/SP;Com presença internacional
Globachem Proteção de Cultivos do Brasil Ltda. - Campinas/SP;Com presença internacional
Agrobiológica Soluções Naturais Ltda - Leme/SP;Somente nacional
Promip Manejo Integrado de Pragas Ltda.;Somente nacional
Zhongshan Química do Brasil - Sorocaba/SP;Com presença internacional
Jubailireg Brasil Ltda - São Paulo/SP;Com presença internacional
Cooperativa Mista de Desenvolvimento do Agronegócio/COMDEAGRO - Primavera do Leste/MT;Somente nacional
Ancom do Brasil Ltda.;Somente nacional
ANASAC Brasil Comercio e Locação de Máquinas Ltda.;Com presença internacional
Lytone Brasil Comércio de Defensivos Agrícolas Ltda;Com presença internacional
Nichino do Brasil Agroquimicos Ltda.;Somente nacional
Oxiquímica Agrociência Ltda;Somente nacional
Sinochem Agro do Brasil Ltda.;Com presença internacional
Agbitech Controles Biológicos Ltda;Com presença internacional
Ascenza Brasil Ltda - Hortolândia/SP;Com presença internacional
Crystal Agro Ltda;Com presença internacional
Cooperativa Mista de Desenvolvimento do Agronegócio/COMDEAGRO - Campo Verde/MT;Somente nacional
Sinon do Brasil Ltda. - Porto Alegre /RS.;Com presença internacional
Agrobiológica Sustentabilidade S.A. - Filial;Somente nacional
SM Agrocare Brasil Importação Comércio e Serviços Agrícolas Ltda;Com presença internacional
Andermatt do Brasil Soluções Biológicas Ltda - ME;Somente nacional
Environmental Science do Brasil Ltda;Com presença internacional
Nooa Ciencia e Tecnologia Agricola Ltda;Somente nacional
Agrivalle Brasil Indústria e Comércio de Produtos Agrícolas S.A.  Indaiatuba/SP;Somente nacional
Indofil Industries do Brasil Ltda.;Com presença internacional
Sumitomo Chemical Brasil Indústria Química S.A. - São Paulo/SP;Com presença internacional
Lacsa Agronegócios Ltda  Cravinhos/SP;Com presença internacional
Coromandel Brasil Ltda.- Cotia/SP;Com presença internacional
4Terra Comércio e Representações Ltda - Piracicaba/SP;Somente nacional
Proregistros Registros de Produtos Ltda - EPP;Com presença internacional
Lemma Agronegócios Importação e Exportação Ltda.;Com presença internacional
Acrom Agroindustrial Ltda- Londrina/PR;Com presença internacional
Gaia Agro Solutions Comércio, Importação e Exportação Ltda.- São Paulo/SP;Não identificado
Scheffer Indústria e Comércio de Biodefensivos Agrícolas Ltda - Sapezal/MT;Somente nacional
Bem da Terra Biológicos S.A;Somente nacional
B Plant Ltda;Somente nacional
Bioma Indústria Comércio e Distribuição Ltda - Fazenda Rio Grande/PR;Somente nacional
Simbiose Biociencias S.A.;Somente nacional
Total Biotecnologia Industria e Comercio S/A - Curitiba/PR;Somente nacional
Solefert Industria e Comercio Ltda.;Somente nacional
Vectorcontrol Industria e Comercio de Produtos Agropecuários Ltda.  Vinhedo/SP;Somente nacional
Bom Futuro Agrícola Ltda. - Campo Verde/MT;Somente nacional
Dillon Biotecnologia Ltda;Somente nacional
Bosquiroli e Santos Ltda.;Somente nacional
Bio Insumos Nativa do Brasil Ltda - Hortolândia/SP;Somente nacional
Mezfer BR Soluções Agrícolas Ltda;Com presença internacional
Biota Innovations Industria e Comercio de Bioprodutos Ltda  Uberaba/MG;Somente nacional
TOPBIO - Insumos Biológicos Indústria e Comércio Ltda  Tibau/RN;Somente nacional
Innova Ltda;Somente nacional
BRA Defensivos Agrícolas Ltda - Piracicaba/SP;Com presença internacional
Solatus Biotecnologia e Insumos Ltda. - Jardinopolis/SP;Somente nacional
Oligos Biotecnologia Fabricação de Defensivos Agrícolas Ltda;Somente nacional
Valeouro Biotec S/A - Uberaba/MG;Somente nacional
JCO Indústria e Comércio de Fertilizantes Ltda.;Somente nacional
Biomix Industria e Comercio de Insumos Organicos Ltda - Cotia/SP;Somente nacional
Leven Indústria e Comércio de Produtos para Agricultura Ltda.;Somente nacional
Bellacotesia Controle Biológico Ltda;Não informado
Wynca do Brasil Ltda  São Paulo;Com presença internacional
Biota Innovations Ind. e Com. de Bioprodutos Ltda  Filial Uberaba/MG;Somente nacional
Solubio Tecnologias Agricolas S.A.  Jataí/GO;Somente nacional
Bio Defense - Controle Biológico Ltda - ME;Somente nacional
Vital Brasil Chemical Industria e Comercio de Produtos Quimicos Ltda - ME;Somente nacional
Biomip Controle Biológico S/A;Somente nacional
Biocaz Ltda.;Somente nacional
Biossíntese Agriscience Ltda;Somente nacional
Serquibio Biotecnologia Ltda - Santa Bárbara d'Oeste/SP;Somente nacional
Zhongxun do Brasil Ltda - São Paulo/SP;Com presença internacional
Morsoletto Controle Biológico Ltda;Somente nacional
Bioeco Cana Produtos Biologicos Ltda - ME;Somente nacional
Genetica Tecnologias Ambientais Ltda;Somente nacional
BioIn Biotecnologia Ltda. - Porto Alegre/RS;Somente nacional
Cooperativa de Cafeicultores e Agropecuaristas - COCAPEC;Somente nacional
J. A. Moura Gonçalves Fertilizantes Eireli  Avaré/SP;Somente nacional
Biotech Controle Biológico Ltda.- Maceió;Somente nacional
Agronatural Comércio de Defensivos Biológicos e Serviços Técnicos Ltda -Jaraguari/MS;Somente nacional
Bioenergia do Brasil S.A.;Somente nacional
Inflora Biociência Ltda;Somente nacional
Endeavour Biologicos Ltda - Rio de Janeiro/RJ;Somente nacional
Indigo Brazil Agricultura Ltda;Com presença internacional
Toyobo do Brasil Produtos Biológicos Ltda.;Somente nacional
Café Brasil Indústria Comércio Importação e Exportação S/A - Alfenas/MG;Somente nacional
Rizobacter do Brasil Ltda;Com presença internacional
Companhia Nitro Química Brasileira - Sertãozinho/SP;Somente nacional
Viva Soluções Biologicas Ltda  Machado/MG;Somente nacional
Biossíntese Pesquisa e Desenvolvimento Ltda.;Somente nacional
Biofungi Ind. e Com. de Def. Biológicos e Inoculantes Ltda.;Somente nacional
Arconi Biotecnologia Ltda;Não informado
Coopavel Cooperativa Agroindustrial;Somente nacional
Beifiur Ltda;Somente nacional
Novozymes BioAg Produtos para Agricultura Ltda - Quatro Barras/PR;Somente nacional
TZ Biotec Ltda.;Somente nacional
Brandt Soluções em Agricultura Ltda, - Cambé/PR;Somente nacional
Tudo Rural Agronegocios  do Brasil Ltda  Erechim/RS;Com presença internacional
Sipcam Nichino Brasil S.A. - Uberaba/MG;Somente nacional
Bequisa Indústria Química do Brasil Ltda.;Com presença internacional
Taminco do Brasil Produtos Químicos Ltda;Com presença internacional
Farmhannong do Brasil Limitada;Somente nacional
Apoena Biosoluções do Brasil Ltda;Somente nacional
VSF Agricultura Sustentável e Comércio Ltda  Petrolina/PE;Somente nacional
Associação dos Plantadores de Cana do Oeste do Est de São Paulo;Somente nacional
DVA Brasil Produtos Agrícolas Ltda - Indaiatuba/SP;Com presença internacional
Associação Mineira dos Produtores de Algodão - AMIPA;Somente nacional
Gharda do Brasil Soluções Agrícolas Ltda.;Com presença internacional
Biogrow do Brasil Ltda. - Valinhos/SP;Somente nacional
Citron Indústria e Comércio de Produtos Químicos Ltda.;Somente nacional
Longwind Cropscience Brazil Ltda - Porto Alegre/RS;Com presença internacional
Brilliance Produtos Agrícolas Ltda;Com presença internacional
Agrichem do Brasil S.A.;Com presença internacional
Elo Simbiotica Agro Tecnologia Ltda- Primavera do Leste/MT;Somente nacional
Compostec Soluçôes Agroambientais Ltda  Toledo/PR;Somente nacional
Ioto International Ind. Com. Prod. Aromaticos Ltda;Somente nacional
Proquimur Agro do Brasil Ltda.  São Paulo;Com presença internacional
Wilson Barbosa de Oliveira - ME;Somente nacional
JLG Cruz Controle Biológico Ltda;Somente nacional
Tonon Produção de Agentes Biológicos Ltda;Somente nacional
Robson da Cunha Mendes ME;Somente nacional
Braz e Costa Produtos Biologicos Ltda - Itumbiara;Somente nacional
Cetma - Comércio de Agentes para Controle Biológico Ltda - EPP;Somente nacional
Fernando de J. B. Tino - ME;Somente nacional
Laboratorio de Entomologia Paraguaçu Ltda - ME;Somente nacional
MCP Controle Biológico Ltda.;Somente nacional
Willian de Oliveira Laboratório - ME;Somente nacional
Raizen Energia S.A  - Filial Barra;Somente nacional
Auca Controle Biológico Ltda-ME;Somente nacional
Laboratório Biocamp Valparaiso Ltda;Somente nacional
Braz e Costa Produtos Biologicos Ltda - Pontal;Somente nacional
Biorganic Produtos Biológicos e Orgânicos Ltda.- ME;Somente nacional
FC Bioinsumos Ltda;Somente nacional
Fitoagro Controle Biológico Ltda;Somente nacional
Bioeffect Controle Biológico de Pragas Ltda.;Somente nacional
BioResult Comércio de Agentes para Controle Biológico Ltda;Somente nacional
JM - Criação de Organismos para Controle Ecologico Ltda - ME;Somente nacional
PROBIO- Produtos Biológicos Ltda;Somente nacional
Associação de Plantadores de Cana da Paraiba- ASPLAN;Somente nacional
AMVAC do Brasil Importação e Comércio de Insumos Agrícolas Ltda;Com presença internacional
Valentto Biodefensores Ltda  Patos de Minas/MG;Somente nacional
Vittia Macro Ltda - Artur Nogueira/SP;Somente nacional
Base Biotecnologia Ltda- Votuporanga/SP;Somente nacional
BC Ecocare Biotecnologia ltda;Somente nacional
Hubio Biopar Agro Indústria e Comércio de Produtos Químicos e Biológicos Ltda.  Alvorada/MG;Somente nacional
Lallemand Solucoes Biologicas Ltda - Piracicaba/SP;Somente nacional
Funguran Giulini Ltda.;Com presença internacional
Tagros Brasil Comércio de Produtos Químicos Ltda.;Com presença internacional
Dalneem Brasil Comercio de Produtos Agropecuarios Ltda;Somente nacional
Somax Agro do Brasil Ltda - Foz do Iguaçu/PR;Com presença internacional
Monsanto do Brasil Ltda - São Paulo;Com presença internacional
Red Surcos do Brasil Comércio Agropecuário Ltda;Com presença internacional
CL Empreendimentos Biológicos Ltda;Somente nacional
Luxembourg Brasil Comércio de Produtos Químicos Ltda;Com presença internacional
Dinagro Agropecuária Ltda.;Com presença internacional
Dekalpar Brasil Ltda - Londrina/PR;Com presença internacional
Green Place Comércio e Distribuição Ltda.;Com presença internacional
Harmony Inputs S.A. - Votorantim/SP;Com presença internacional
Jubaili Brasil Ltda - São Paulo/SP;Com presença internacional
Santo Expedito 333 Industria e Comercio de Produtos Agropecuários Ltda - Olímpia/SP;Somente nacional
Fosfoquim Brasil Aluguel de Equipamentos de Fumigação Ltda;Não identificado
Aqua do Brasil Industria, Comercio, Importacao e Exportacao de Produtos Agricolas Ltda;Com presença internacional
Maxunitech do Brasil Ltda;Com presença internacional
Rawell Agro Ltda - ME;Com presença internacional
Yonon Biociências e Defensivos Agrícolas Ltda.;Com presença internacional
Excellence Industria e Comercio de Produtos Biologicos Ltda  - Aparecida de Goiânia/GO;Não informado
De Sangosse Agroquímica Ltda;Com presença internacional
Tradecorp do Brasil Comércio de Insumos Agrícolas Ltda  Monte Mor/SP;Com presença internacional
Contacta Registros e Gestão Agropecuária Ltda;Somente nacional
BR3 Tecnologia e Indústria Química e Farmacêutica Ltda;Somente nacional
Feican Criação de Animais para Controle Biológico Ltda - EPP;Somente nacional
Landevo Quimica do Brasil Ltda.;Com presença internacional
Coopercitrus Cooperativa de Produtores Rurais - Bebedouro/SP;Com presença internacional
Plato do Brasil Ltda;Com presença internacional
GreenUp Assessoria e Agricultura Sustentável Ltda;Com presença internacional
Unibrás Agro Química Ltda.;Com presença internacional
Foison do Brasil Defensivos Agrícolas e Comércio Ltda;Com presença internacional
Dominus Química Ltda. - ME;Somente nacional
Ecco Control Controle Ecológico de Pragas Indústria e Comércio Ltda;Somente nacional
Solagro Soluções Agrícolas Ltda - São Paulo/SP;Com presença internacional
Organoplant-Indústria, Comércio, Importação e Exportação de Produtos Agrícolas Ltda;Somente nacional
Indústria Química Guerra Ltda.;Somente nacional
Fuhua Brasil Comercio de Produtos Quimicos Ltda.;Com presença internacional
Amaggi Exportação e Importação Ltda - Matriz Cuiaba/MT;Com presença internacional
Alamos do Brasil Ltda.;Com presença internacional
Xingfa Brasil Ltda;Com presença internacional
ADM do Brasil Ltda.  São Paulo/SP;Com presença internacional
Citromax Industria e Comercio Ltda - São Lourenço do Oeste/SC;Com presença internacional
Rieter do Brasil Indústria Química Ltda;Com presença internacional
Willowood Agriscience Representação Comercial Ltda  Campinas/SP;Com presença internacional
Agrocete Industria de Fertilizantes Ltda;Somente nacional
Vitales Soluções Biológicas Ltda;Somente nacional
Agrária Indústria e Comércio Ltda.;Somente nacional
Green World Comércio, Importação e Exportação de Insumos Agrícolas Ltda;Com presença internacional
Prophyto Comercio e Serviços Ltda.  São Paulo/SP;Com presença internacional
Uby Agroquímica S.A - Uberaba/MG;Somente nacional
Superbac Biotechnology Solutions S.A;Somente nacional
AMVAC do Brasil 3P Ltda,;Somente nacional
Hailir Brasil Defensivos Agricolas Ltda - São Paulo/SP;Com presença internacional
DVerde Comércio, Importação e Exportação Ltda.;Com presença internacional
Biofabrica Moscamed Brasil - Biomoscamed;Somente nacional
Isca Tecnologias Ltda.;Somente nacional
Irrigação Dias Cruz Ltda - ME;Somente nacional
Biocross do Brasil Fertilizantes Ltda;Somente nacional
Comexport Trading Comércio Exterior Ltda - Itajaí/SC;Com presença internacional
Omex Agrifluids do Brasil Produtos Agrícolas Ltda.;Com presença internacional
Agrilean Inputs S.A. - Barueri/SP;Com presença internacional
Jotew Service Ltda - Barueri/SP;Com presença internacional
Landrin Indústria e Comércio de Inseticidas Ltda.;Somente nacional
Tecnocell Agroflorestal Ltda.;Com presença internacional
Agrolimuda do Brasil Ltda - Guarulhos/SP;Com presença internacional
Limin Biotechnology do Brasil Ltda - São Paulo/SP;Com presença internacional
Elemental Enzymes do Brasil Ltda - São Paulo/SP;Com presença internacional
Agrobiotech Agronegocio Ltda  Jardinópolis/SP;Com presença internacional
Biopar Produtos Biologicos do Parana LTDA;Somente nacional
MB Enzymas Ltda  Saltinho/SP;Somente nacional
Mac-Café Biotecnologia Agrícola Ltda;Somente nacional
Eastchem do Brasil Ltda - Mogi das Cruzes/SP;Com presença internacional
Industria Quimica Dipil Ltda;Com presença internacional
Prime Agro Produtos Agrícolas Ltda;Somente nacional
Indústria Química Cajazeira Ltda.;Somente nacional
Nutrien Soluções Agrícolas Ltda.  São Paulo/SP;Com presença internacional
Haffs Indústria e Comércio de Insumos Agro & Químicos Ltda - Itaquaquecetuba/SP;Somente nacional
Meghmani Organics Biodefensivos e Agrícolas do Brasil Ltda - Campinas/SP;Com presença internacional
Atlas Bioinsumos Ltda -  São Sebastião do Paraíso/MG;Somente nacional
Intercuf Indústria e Comércio Ltda.;Não informado
Atta Kill Ind. e Com. de Def. Agric. Ltda.  Rio Claro;Somente nacional
Pi Agsciences Brasil Ltda - São Paulo/SP;Somente nacional
Stoller do Brasil Ltda.;Com presença internacional
Agropaulo Agroindustrial S.A. - Jaguaruana;Somente nacional
Empresa Brasileira de Pesquisa Agropecuária - EMBRAPA Florestas;Somente nacional
Trustchem Brazil Agroscience Sociedade Unipessoal Ltda - São Paulo/SP;Com presença internacional
Noduagri Biotecnologia Ltda;Somente nacional
Openeem Bioscience Industria e Comercio S.A - São Paulo/SP;Somente nacional
Petrobrás Distribuidora S.A.  Duque de Caxias;Somente nacional
Vivus Agro Defensivos Agricolas Ltda.- Piracicaba/SP;Somente nacional
Viahum Comércio, Importação e Exportação Ltda;Com presença internacional
Provivi do Brasil Serviços Agrícolas Ltda.;Com presença internacional
Partner Agroservice Consultoria em Agronegócio Ltda  EPP;Com presença internacional
OHMS Agro Brasil Ltda;Com presença internacional
Sul-Mip Indústria e Comércio de Agentes Bíológicas Ltda;Somente nacional
União Química Farmacêutica Nacional S.A;Somente nacional
Naturacide do Brasil Comércio de Produtos Agropecuários Ltda. - São Paulo/SP;Com presença internacional
Rising Sun Protection Ltda;Com presença internacional
Quantiq Distribuidora Ltda  Guarulhos/SP;Somente nacional
Chemitec Agro Veterinária Ltda..;Somente nacional
F1rst Agbiotech Ltda.;Somente nacional
Fenix Agro-Pecus Industrial Ltda.;Somente nacional
Improcrop do Brasil Ltda;Somente nacional
Industria de Fertilizantes Macrobio Ltda - Santa Helena/PR;Somente nacional
Kimitec do Brasil Importação e Exportação de Biotecnologia Agrícola Ltda;Com presença internacional
Ventura Comércio e Distribuição de Insumos Agrícolas Ltda;Com presença internacional
Interacta Química Ltda;Somente nacional
Lesaffre do Brasil Produtos Alimentícios Ltda - Campinas/SP;Com presença internacional
CD Safety Comércio e Importação Ltda -Paranaguá/PR;Com presença internacional
Mitsui Chemicals do Brasil Comércio Ltda.;Somente nacional
Innovak do Brasil Produtos Agrícolas Ltda;Com presença internacional
Tessenderlo Kerley Brasil Ltda;Com presença internacional
Tech Crop Agronegócio Ltda.;Com presença internacional
Mineração e Pesquisa Brasileira Ltda.;Somente nacional
W. Neudorff Servicos de Agricultura do Brasil Ltda. - ME;Com presença internacional
SÃO MARTINHO S.A.;Somente nacional
Chemical Solution Pará Ltda;Com presença internacional
Rizzi & Cia. Ltda.;Não identificado
Companhia Nitro Quimica Brasileira - Cesário Lange/SP;Somente nacional
Microsal Indústria e Comércio Ltda. - Capivari;Somente nacional
Companhia Brasileira De Petróleo Ipiranga.;Não informado
ADM do Brasil Ltda.  Rondonópolis/MT;Somente nacional
Ecosolução Agrociências e Soluções Ambientais Ltda. - Santo Antonio de Posse/SP;Somente nacional
Biovirtus Soluções Ambientais Ltda.  Vinhedo/SP;Com presença internacional
Symborg Participações Ltda - Hortolândia/SP;Com presença internacional
Soloeste Industria, Comercio, Importacao e Exportacao Ltda - ME;Com presença internacional
Stockton Agrimor do Brasil Ltda.;Com presença internacional
HB Industria e Comercio de Insumos Agricolas e Fertilizantes Eireli -  Primavera Do Leste/MT;Somente nacional
Farmbio Industria e Comercio de Defensivos Agricolas Ltda;Somente nacional
Insecta Bio Indústria e Comercio Ltda - Campo Verde/MT;Somente nacional
CEPLAC - Ministerio da Agricultura, Pecuária e Abastecimento;Somente nacional
Vittia S.A - São Joaquim da Barra 02;Somente nacional
Nufarm do Brasil Ltda;Com presença internacional
Daymsa do Brasil Comercial de Insumos Agrícolas Ltda.;Com presença internacional
Superbac Biotecnology Solutions S.A.-Cotia/SP;Somente nacional
Cooperativa Mista de Desenvolvimento do Agronegócio/COMDEAGRO - Rondonopolis/ MT;Somente nacional
